order_id,product_id,quantity,unit_price
1,204,4,21413
1,428,4,101575
1,206,1,161706
1,281,2,39335
2,347,2,17871
2,39,4,100595
2,196,3,9369
3,120,3,40593
3,83,3,117842
3,317,3,6176
3,383,1,7803
3,442,4,33478
4,387,4,72331
4,412,5,63565
5,312,4,3394
6,224,2,178542
6,65,5,30850
7,266,1,3862
7,121,4,295195
7,135,4,68026
7,60,5,91561
7,370,1,241518
8,397,3,9374
9,13,5,62062
9,453,1,96234
9,446,4,28425
9,142,2,3835
10,203,2,12061
10,398,3,122257
10,222,1,59357
10,174,1,14927
10,378,2,5364
11,446,2,28425
11,107,2,22966
11,336,1,9486
11,191,5,67223
12,214,4,135750
13,210,2,233057
13,252,2,30564
13,313,3,28221
13,363,4,17442
14,326,1,4873
14,89,1,28187
14,4,4,16115
14,397,1,9374
15,420,2,337141
15,351,5,30502
15,108,5,14119
15,215,2,24668
15,85,3,11618
16,230,4,5812
16,412,4,63565
16,363,2,17442
16,257,1,48066
16,303,1,66948
17,177,5,19098
17,287,1,38127
17,312,5,3394
17,423,3,114188
18,398,4,122257
18,312,3,3394
19,311,2,26373
19,237,3,19452
19,14,5,44460
19,99,2,318029
20,227,2,34328
21,70,4,97975
21,39,3,100595
21,222,1,59357
21,174,5,14927
22,304,5,52325
22,12,1,19732
22,408,4,169925
22,294,5,24516
22,79,5,284973
23,18,5,106801
24,395,5,12207
24,54,4,253598
25,21,1,4967
25,55,1,195035
25,456,3,53827
26,221,5,166207
27,150,5,9051
27,65,1,30850
27,430,5,246618
27,369,5,12491
27,462,1,84658
28,266,2,3862
28,226,5,46493
28,287,3,38127
29,422,1,84671
29,333,4,33838
29,163,4,2388
29,271,3,87661
29,66,3,94469
30,475,1,364569
31,255,2,5246
31,345,1,205943
31,80,1,27685
31,17,2,39052
32,133,3,5374
32,289,1,50842
33,47,5,97070
33,397,4,9374
33,302,3,174010
33,290,4,195202
33,68,3,25262
34,361,5,15440
34,329,1,23164
34,212,5,5586
35,383,3,7803
36,390,4,77909
37,172,2,113684
37,353,2,64555
37,264,3,127162
37,350,5,30892
38,184,1,94140
38,212,3,5586
38,26,1,17025
39,442,4,33478
39,262,4,113819
39,151,2,159955
40,57,2,38622
40,161,3,57428
40,240,3,11336
41,312,3,3394
41,272,5,126874
41,361,1,15440
41,59,2,16564
42,200,1,17698
42,228,5,59191
42,210,2,233057
42,417,2,13389
43,316,1,110095
44,372,3,135500
44,33,3,40980
44,252,5,30564
45,420,3,337141
45,50,2,31053
45,55,1,195035
46,403,1,204017
46,302,1,174010
46,100,3,42292
47,376,1,62184
47,244,1,81779
47,348,1,203414
