order_id,order_date,customer_id,employee_id,store_id
1,2023-01-28,850,97,9
2,2024-09-17,473,11,37
3,2025-03-16,829,172,7
4,2025-05-18,651,213,48
5,2023-09-30,881,32,37
6,2026-04-06,594,28,28
7,2024-06-06,476,165,44
8,2024-06-12,867,246,1
9,2025-12-08,28,248,38
10,2025-12-23,13,237,45
11,2023-05-16,479,69,36
12,2025-09-27,504,208,7
13,2024-10-15,942,224,14
14,2023-09-24,141,166,45
15,2025-10-07,265,161,10
16,2026-04-11,192,61,14
17,2024-01-30,109,36,37
18,2023-12-01,255,68,1
19,2024-04-23,580,150,11
20,2025-04-11,617,209,11
21,2024-12-05,679,195,32
22,2024-02-26,181,166,45
23,2026-03-04,181,27,19
24,2026-07-14,356,90,20
25,2023-07-11,848,51,13
26,2025-11-26,940,225,46
27,2024-06-22,181,92,11
28,2025-11-01,565,143,46
29,2024-12-12,85,194,49
30,2023-11-23,790,48,43
31,2024-07-30,546,83,37
32,2026-06-04,184,92,11
33,2025-08-09,771,217,50
34,2025-11-12,360,142,6
35,2023-08-29,372,128,45
36,2024-07-16,585,59,13
37,2024-08-21,463,71,16
38,2025-08-04,16,8,17
39,2023-09-24,259,118,12
40,2024-06-11,498,67,20
41,2024-10-06,998,155,47
42,2024-03-29,946,235,12
43,2025-12-05,860,241,19
44,2026-06-08,87,238,45
45,2025-09-23,614,63,38
46,2024-06-17,19,147,16
47,2025-09-28,590,64,14
48,2024-06-22,14,203,5
49,2025-10-23,752,92,11
50,2023-10-22,108,73,22
51,2023-11-23,697,173,26
52,2024-08-01,843,180,18
53,2024-11-15,800,68,1
54,2024-01-13,544,151,44
55,2024-01-05,466,19,18
56,2024-09-14,979,94,27
57,2023-02-15,424,134,50
58,2024-10-07,673,20,22
59,2023-10-06,16,87,25
60,2025-06-04,458,141,49
61,2026-03-28,750,29,46
62,2026-07-25,322,58,15
63,2026-07-24,969,115,4
64,2026-03-19,210,98,37
65,2025-08-19,183,92,11
66,2025-08-18,850,115,4
67,2023-07-23,660,77,11
68,2025-07-06,836,151,44
69,2024-10-31,104,220,30
70,2024-09-17,222,201,40
71,2025-10-01,975,111,21
72,2025-12-29,488,62,7
73,2025-02-21,808,130,25
74,2026-06-05,638,96,48
75,2025-08-22,583,64,14
76,2023-07-14,37,36,37
77,2026-03-13,474,131,5
78,2025-01-23,466,239,25
79,2025-04-27,888,216,11
80,2023-08-05,127,31,30
81,2023-09-02,962,149,4
82,2026-04-14,396,129,8
83,2024-06-05,988,202,41
84,2026-07-14,2,172,7
85,2023-03-04,783,71,16
86,2026-03-14,417,95,1
87,2025-05-22,716,210,19
88,2024-09-19,108,142,6
89,2025-08-22,876,26,13
90,2026-03-08,182,8,17
91,2023-09-01,634,182,10
92,2024-05-29,624,60,24
93,2026-06-26,600,44,29
94,2024-06-08,507,236,38
95,2023-03-21,934,101,33
96,2023-03-17,933,19,18
97,2024-11-08,636,187,35
98,2023-05-02,515,73,22
99,2025-09-26,519,226,21
100,2023-09-23,189,83,37
101,2023-01-19,471,119,3
102,2025-01-26,349,163,32
103,2023-01-31,431,175,26
104,2026-05-18,696,155,47
105,2023-10-12,647,73,22
106,2024-10-21,833,64,14
107,2023-12-02,329,166,45
108,2025-12-29,871,19,18
109,2025-06-02,512,11,37
110,2023-06-21,456,231,20
111,2025-01-12,881,146,21
112,2025-10-12,240,68,1
113,2024-12-15,421,15,1
114,2023-04-30,533,32,37
115,2025-03-03,391,194,49
116,2025-01-13,515,63,38
117,2024-02-21,171,166,45
118,2024-04-12,702,116,21
119,2023-06-22,77,86,49
120,2024-06-20,412,90,20
121,2025-08-30,537,226,21
122,2023-05-29,78,194,49
123,2026-07-14,665,217,50
124,2026-03-23,980,233,47
125,2023-10-15,309,73,22
126,2026-01-16,754,210,19
127,2023-06-02,32,70,49
128,2026-02-01,943,35,8
129,2024-01-26,462,209,11
130,2025-07-11,693,239,25
131,2023-02-15,481,171,37
132,2024-05-28,681,81,43
133,2024-06-03,439,39,28
134,2024-01-04,798,143,46
135,2023-07-06,465,143,46
136,2024-11-13,972,232,46
137,2025-02-18,576,34,7
138,2025-10-19,166,203,5
139,2025-09-13,567,108,1
140,2024-12-21,145,108,1
141,2024-02-28,347,248,38
142,2023-04-23,346,2,45
143,2023-05-26,186,188,23
144,2025-10-15,925,195,32
145,2024-02-18,182,235,12
146,2023-10-28,147,70,49
147,2024-10-17,981,221,6
148,2024-12-19,955,7,3
149,2024-11-04,61,215,5
150,2024-01-21,3,120,42
151,2023-12-15,797,249,20
152,2023-07-08,118,154,47
153,2023-09-07,448,45,17
154,2025-02-25,629,138,38
155,2026-06-20,158,20,22
156,2023-09-19,556,246,1
157,2025-02-14,200,244,2
158,2023-04-26,451,204,44
159,2026-03-05,900,56,16
160,2025-10-22,830,217,50
161,2025-01-20,861,143,46
162,2024-04-15,453,134,50
163,2025-10-13,907,76,26
164,2024-10-22,922,222,23
165,2023-10-07,312,34,7
166,2025-12-11,547,64,14
167,2025-10-13,554,33,26
168,2025-01-10,795,118,12
169,2023-02-18,185,213,48
170,2024-01-12,974,30,38
171,2023-01-18,130,40,12
172,2026-07-11,479,176,4
173,2026-03-13,992,115,4
174,2023-04-15,165,162,17
175,2023-04-28,547,94,27
176,2025-11-10,332,101,33
177,2025-05-18,690,150,11
178,2025-09-26,423,157,27
179,2023-12-04,454,146,21
180,2023-04-12,734,71,16
181,2023-09-16,446,202,41
182,2026-03-07,218,220,30
183,2023-02-26,616,77,11
184,2025-06-18,546,166,45
185,2026-02-14,182,59,13
186,2024-06-19,662,124,10
187,2023-09-29,478,118,12
188,2023-10-14,815,50,8
189,2023-09-14,576,149,4
190,2024-03-17,264,35,8
191,2023-12-05,713,44,29
192,2025-02-06,913,116,21
193,2026-04-15,133,220,30
194,2026-05-15,784,190,1
195,2023-06-21,689,199,42
196,2023-06-13,438,136,45
197,2024-03-06,758,213,48
198,2023-04-18,521,143,46
199,2023-04-02,29,151,44
200,2023-07-18,782,106,50
201,2026-05-18,604,134,50
202,2023-09-01,952,212,36
203,2024-10-14,583,208,7
204,2023-02-26,219,16,42
205,2026-02-23,617,110,28
206,2025-11-10,345,158,24
207,2025-10-31,581,58,15
208,2025-03-05,175,75,30
209,2025-12-10,871,19,18
210,2024-06-11,642,178,19
211,2025-09-28,343,65,30
212,2025-10-30,920,3,40
213,2023-01-04,593,24,40
214,2023-08-06,410,14,26
215,2024-01-22,640,95,1
216,2026-06-23,407,208,7
217,2024-02-11,273,221,6
218,2025-10-26,617,36,37
219,2025-10-03,769,108,1
220,2024-04-27,166,129,8
221,2025-08-26,395,57,5
222,2025-05-11,709,150,11
223,2023-02-14,791,128,45
224,2025-04-24,945,157,27
225,2023-05-13,735,11,37
226,2024-12-07,763,158,24
227,2023-09-26,294,77,11
228,2026-01-01,452,5,39
229,2023-02-16,996,236,38
230,2024-10-06,657,46,22
231,2023-11-07,294,116,21
232,2024-02-09,748,27,19
233,2024-09-15,705,141,49
234,2023-03-02,207,49,24
235,2023-06-18,221,64,14
236,2023-11-05,447,26,13
237,2023-06-05,705,22,27
238,2026-02-15,54,19,18
239,2025-09-01,705,220,30
240,2025-02-10,29,161,10
241,2023-10-29,552,242,6
242,2023-11-10,28,133,24
243,2024-03-12,652,203,5
244,2026-07-03,126,224,14
245,2024-07-01,616,210,19
246,2026-02-20,451,133,24
247,2025-10-26,225,137,33
248,2023-07-21,57,11,37
249,2024-04-12,214,131,5
250,2026-03-15,974,215,5
251,2023-08-08,673,165,44
252,2025-11-19,784,31,30
253,2025-12-10,778,82,8
254,2026-04-12,371,38,36
255,2025-06-21,453,2,45
256,2023-03-27,157,221,6
257,2025-05-03,457,176,4
258,2024-03-01,731,183,6
259,2024-01-10,200,190,1
260,2025-05-31,401,159,37
