payment_id,order_id,payment_type,payment_amount,payment_date,payment_status
1,1,upi,732328,2023-01-28,completed
2,2,upi,466229,2024-09-17,completed
3,3,card,635548,2025-03-16,completed
4,4,cash,607149,2025-05-18,completed
5,5,upi,13576,2023-09-30,completed
6,6,cash,511334,2026-04-06,completed
7,7,card,2156069,2024-06-06,completed
8,8,upi,28122,2024-06-12,completed
9,9,upi,527914,2025-12-08,completed
10,10,card,475905,2025-12-23,completed
11,11,card,448383,2023-05-16,failed
12,12,upi,543000,2025-09-27,completed
13,13,cash,681673,2024-10-15,pending
14,14,cash,106894,2023-09-24,completed
15,15,upi,981577,2025-10-07,completed
16,16,cash,427406,2026-04-11,completed
17,17,cash,493151,2024-01-30,failed
18,18,card,499210,2023-12-01,completed
19,19,cash,969460,2024-04-23,completed
20,20,card,68656,2025-04-11,completed
21,21,cash,827677,2024-12-05,completed
22,22,card,2508502,2024-02-26,completed
23,23,card,534005,2026-03-04,completed
24,24,upi,1075427,2026-07-14,completed
25,25,upi,361483,2023-07-11,completed
26,26,card,831035,2025-11-26,completed
27,27,upi,1456308,2024-06-22,failed
28,28,cash,354570,2025-11-01,completed
29,29,card,775965,2024-12-12,completed
30,30,card,364569,2023-11-23,completed
31,31,cash,322224,2024-07-30,pending
32,32,cash,66964,2026-06-04,completed
33,33,card,1901470,2025-08-09,completed
34,34,upi,128294,2025-11-12,completed
35,35,card,23409,2023-08-29,completed
36,36,upi,311636,2024-07-16,completed
37,37,upi,892424,2024-08-21,completed
38,38,upi,127923,2025-08-04,completed
39,39,card,909098,2023-09-24,completed
40,40,upi,283536,2024-06-11,failed
41,41,upi,693120,2024-10-06,failed
42,42,cash,806545,2024-03-29,completed
43,43,cash,110095,2025-12-05,pending
44,44,cash,682260,2026-06-08,completed
45,45,card,1268564,2025-09-23,pending
46,46,upi,504903,2024-06-17,completed
47,47,upi,347377,2025-09-28,completed
48,48,upi,9746,2024-06-22,completed
49,49,cash,1244324,2025-10-23,completed
50,50,upi,106846,2023-10-22,failed
51,51,card,591920,2023-11-23,completed
52,52,cash,442864,2024-08-01,completed
53,53,card,1327128,2024-11-15,completed
54,54,upi,424025,2024-01-13,return
55,55,cash,1636984,2024-01-05,return
56,56,upi,429500,2024-09-14,failed
57,57,cash,225306,2023-02-15,completed
58,58,card,302656,2024-10-07,completed
59,59,card,678137,2023-10-06,completed
60,60,upi,1521466,2025-06-04,return
61,61,cash,307182,2026-03-28,completed
62,62,cash,704980,2026-07-25,completed
63,63,card,627897,2026-07-24,failed
64,64,upi,167831,2026-03-19,completed
65,65,card,2222160,2025-08-19,completed
66,66,upi,377417,2025-08-18,completed
67,67,cash,1690875,2023-07-23,completed
68,68,upi,102555,2025-07-06,completed
69,69,cash,115460,2024-10-31,completed
70,70,upi,611285,2024-09-17,completed
71,71,card,823775,2025-10-01,completed
72,72,card,589789,2025-12-29,completed
73,73,cash,3010839,2025-02-21,failed
74,74,upi,55104,2026-06-05,completed
75,75,cash,1562036,2025-08-22,completed
76,76,upi,976311,2023-07-14,completed
77,77,cash,468062,2026-03-13,pending
78,78,cash,490749,2025-01-23,completed
79,79,cash,636418,2025-04-27,completed
80,80,cash,889480,2023-08-05,failed
81,81,cash,80094,2023-09-02,completed
82,82,upi,84561,2026-04-14,completed
83,83,upi,34495,2024-06-05,completed
84,84,card,261312,2026-07-14,completed
85,85,card,168806,2023-03-04,completed
86,86,cash,856562,2026-03-14,completed
87,87,upi,129475,2025-05-22,completed
88,88,upi,542818,2024-09-19,completed
89,89,card,794764,2025-08-22,completed
90,90,card,92568,2026-03-08,completed
91,91,upi,1307492,2023-09-01,failed
92,92,cash,581173,2024-05-29,failed
93,93,upi,857698,2026-06-26,pending
94,94,cash,550473,2024-06-08,return
95,95,upi,27153,2023-03-21,completed
96,96,cash,35396,2023-03-17,completed
97,97,upi,32230,2024-11-08,failed
98,98,upi,1162151,2023-05-02,completed
99,99,cash,1064734,2025-09-26,completed
100,100,cash,1279025,2023-09-23,pending
101,101,upi,3209608,2023-01-19,pending
102,102,upi,1633821,2025-01-26,completed
103,103,upi,836925,2023-01-31,completed
104,104,upi,24414,2026-05-18,failed
105,105,upi,684241,2023-10-12,completed
106,106,cash,400153,2024-10-21,completed
107,107,cash,118662,2023-12-02,completed
108,108,card,194480,2025-12-29,completed
109,109,card,1216828,2025-06-02,failed
110,110,cash,1116163,2023-06-21,failed
111,111,upi,1168877,2025-01-12,completed
112,112,card,332414,2025-10-12,completed
113,113,card,580956,2024-12-15,return
114,114,cash,338910,2023-04-30,completed
115,115,card,2282048,2025-03-03,failed
116,116,card,58486,2025-01-13,return
