return_id,order_id,product_id,return_date,inspection_status,return_type
1,688,296,2025-10-24,passed,replacement
2,3620,317,2023-06-03,passed,replacement
3,1462,460,2024-10-17,failed,replacement
4,4980,388,2025-11-30,failed,replacement
5,1159,343,2025-12-06,failed,refund
6,3358,406,2023-02-06,failed,replacement
7,318,149,2023-02-11,failed,replacement
8,1728,472,2026-06-20,failed,refund
9,4284,252,2023-01-31,failed,refund
10,3008,124,2025-02-24,passed,refund
11,2422,45,2026-04-03,passed,replacement
12,4390,462,2025-01-16,failed,replacement
13,4681,140,2024-07-03,failed,refund
14,1763,59,2025-04-02,passed,replacement
15,874,30,2023-02-14,failed,refund
16,3354,443,2025-04-10,failed,refund
17,1806,456,2023-04-20,passed,replacement
18,2771,479,2024-03-17,passed,replacement
19,1180,489,2025-08-11,failed,replacement
20,342,28,2023-08-17,failed,replacement
21,3321,186,2024-02-13,failed,replacement
22,2340,392,2025-11-13,passed,replacement
23,1532,284,2023-10-02,failed,replacement
24,1925,327,2024-03-28,passed,replacement
25,4940,319,2023-11-23,failed,replacement
26,687,323,2024-06-07,passed,replacement
27,4997,323,2024-06-20,failed,replacement
28,1118,331,2025-01-04,failed,refund
29,4062,272,2025-01-21,passed,refund
30,1855,149,2024-03-15,passed,refund
31,3685,31,2024-06-20,failed,refund
32,836,178,2026-06-12,failed,replacement
33,2918,267,2025-08-07,failed,replacement
34,4953,313,2024-02-08,failed,refund
35,3463,248,2024-08-31,failed,replacement
36,4548,158,2025-02-26,failed,refund
37,3872,482,2023-06-08,failed,refund
38,412,259,2024-12-14,passed,replacement
39,455,460,2024-09-20,passed,replacement
40,4859,204,2024-03-27,passed,replacement
41,1686,245,2026-02-10,failed,refund
42,711,480,2025-10-03,failed,replacement
43,2248,228,2025-02-10,passed,refund
44,1998,343,2026-07-06,failed,refund
45,2096,424,2026-04-22,passed,replacement
46,3920,256,2024-12-06,failed,refund
47,1931,426,2025-11-22,failed,replacement
48,3517,367,2026-05-28,failed,replacement
49,3890,241,2025-11-18,failed,refund
50,3284,394,2025-06-26,passed,replacement
51,4809,121,2024-07-10,failed,replacement
52,678,443,2024-12-02,passed,refund
53,4985,485,2024-06-10,passed,replacement
54,2862,59,2023-02-24,failed,refund
55,3529,170,2023-07-09,failed,replacement
56,1398,71,2026-03-23,failed,replacement
57,4490,113,2023-11-04,passed,replacement
58,2194,39,2026-05-17,failed,refund
59,715,186,2023-01-13,passed,replacement
60,2360,224,2025-02-07,passed,replacement
61,464,79,2024-06-05,failed,refund
62,2775,497,2026-01-19,passed,refund
63,4189,309,2026-03-09,failed,replacement
64,3166,125,2024-09-06,passed,refund
65,685,8,2026-02-21,passed,refund
66,1238,216,2025-11-23,failed,refund
67,4582,447,2023-07-04,failed,replacement
68,850,427,2026-01-19,passed,refund
69,3987,176,2023-12-19,failed,refund
70,521,185,2025-06-15,failed,refund
71,3079,437,2024-08-20,failed,refund
72,4263,118,2023-08-23,passed,replacement
73,4845,16,2023-04-20,failed,replacement
74,284,442,2023-10-22,failed,replacement
75,4883,395,2023-09-04,failed,refund
76,4395,7,2025-06-01,failed,replacement
77,1450,163,2024-06-15,failed,replacement
78,4938,70,2025-09-09,passed,replacement
79,448,449,2026-07-11,failed,replacement
80,1636,446,2025-10-05,failed,refund
81,4216,344,2024-03-11,failed,replacement
82,1240,415,2026-02-28,failed,refund
83,4742,22,2026-05-06,failed,replacement
84,1854,327,2024-12-22,failed,refund
85,4338,129,2023-09-06,passed,replacement
86,591,85,2023-02-17,failed,refund
87,1073,496,2025-04-21,failed,replacement
88,698,290,2025-04-11,passed,replacement
89,1589,226,2026-07-19,passed,replacement
90,3709,462,2023-10-06,failed,replacement
91,172,203,2026-07-26,failed,replacement
92,3903,262,2026-01-19,failed,replacement
93,4542,47,2026-03-17,failed,refund
94,1167,107,2026-07-22,passed,replacement
95,1429,455,2024-11-17,failed,replacement
96,2871,480,2025-08-06,failed,refund
97,724,465,2024-12-13,failed,replacement
98,3611,155,2025-04-02,passed,replacement
99,3171,37,2024-09-08,failed,replacement
100,2144,89,2024-03-19,failed,replacement
101,1042,315,2023-12-20,failed,replacement
102,545,71,2024-12-05,failed,replacement
103,50,234,2023-11-17,failed,replacement
104,1092,313,2024-12-17,passed,replacement
105,3126,351,2025-03-30,passed,replacement
106,2253,317,2024-10-04,passed,replacement
107,787,461,2026-05-26,failed,refund
108,533,335,2023-12-19,failed,refund
109,1310,260,2025-08-05,passed,refund
110,3371,365,2023-06-11,failed,replacement
111,134,101,2024-02-01,failed,replacement
112,4972,426,2026-04-18,failed,replacement
113,4015,123,2024-04-08,failed,replacement
114,2150,422,2023-11-30,failed,replacement
115,1379,12,2026-01-13,passed,replacement
116,343,335,2023-03-24,failed,replacement
117,1408,340,2024-04-23,passed,replacement
118,1238,417,2025-11-03,failed,replacement
119,4939,459,2026-05-04,failed,replacement
120,2674,117,2025-06-12,failed,refund
121,4843,197,2026-06-13,failed,replacement
122,2359,323,2025-08-17,failed,replacement
123,968,97,2025-06-14,failed,replacement
124,497,133,2023-11-30,passed,refund
125,3104,33,2024-03-01,failed,replacement
126,257,79,2025-05-20,failed,refund
127,4278,388,2026-08-19,failed,replacement
128,2084,300,2023-01-08,failed,refund
129,4107,348,2024-05-26,passed,refund
130,3273,48,2026-01-23,passed,refund
131,348,428,2023-11-23,failed,refund
132,145,269,2024-02-23,failed,replacement
133,2547,19,2026-07-16,passed,refund
134,88,426,2024-09-30,passed,refund
135,3639,363,2026-07-22,failed,replacement
136,1146,10,2024-03-18,failed,refund
137,2419,421,2023-07-04,failed,refund
138,3136,369,2023-09-08,failed,replacement
139,1544,479,2023-04-14,failed,replacement
140,592,115,2023-09-30,failed,replacement
141,3727,266,2025-03-09,passed,refund
142,2162,247,2023-04-06,passed,replacement
143,352,20,2024-11-08,passed,replacement
144,2044,302,2025-02-15,failed,replacement
145,4091,134,2025-10-22,passed,replacement
146,2828,103,2026-06-28,failed,replacement
147,2523,464,2026-03-31,failed,replacement
148,756,199,2026-05-12,passed,replacement
149,1489,314,2024-04-16,failed,replacement
150,3949,390,2024-08-25,failed,replacement
151,3711,248,2023-06-09,failed,replacement
152,3323,452,2024-03-16,failed,replacement
153,4068,391,2023-12-29,failed,replacement
154,2082,8,2024-08-25,passed,replacement
155,4264,118,2023-01-27,passed,replacement
156,3571,197,2025-09-09,failed,replacement
157,668,346,2025-03-28,passed,refund
158,57,25,2023-03-10,failed,refund
159,2635,273,2026-01-24,failed,replacement
160,786,329,2026-02-25,passed,replacement
161,4239,352,2023-07-09,passed,refund
162,1032,470,2026-06-03,failed,refund
163,4901,397,2026-06-15,failed,replacement
164,3203,187,2026-06-22,failed,refund
165,3233,392,2026-01-19,passed,replacement
166,2642,312,2023-09-28,failed,replacement
167,3078,12,2024-11-26,failed,replacement
168,456,128,2024-05-16,failed,refund
169,520,427,2024-04-27,failed,refund
170,2713,146,2023-05-04,failed,replacement
171,2869,216,2023-08-29,failed,replacement
172,2813,249,2024-10-02,failed,replacement
173,4261,464,2023-02-01,failed,replacement
174,4384,202,2026-05-07,failed,replacement
175,1703,321,2024-08-28,passed,refund
176,4284,81,2023-01-20,passed,replacement
177,1829,248,2024-07-15,failed,replacement
178,2560,393,2024-05-19,failed,replacement
179,1939,275,2023-08-18,failed,replacement
180,4194,66,2023-10-27,failed,refund
181,789,103,2024-09-23,failed,replacement
182,1827,261,2026-04-10,failed,replacement
183,2679,299,2023-04-14,failed,replacement
184,2634,146,2024-05-13,passed,replacement
185,693,424,2025-01-29,failed,replacement
186,28,226,2025-11-03,passed,replacement
187,4614,375,2025-01-08,failed,refund
188,2421,368,2026-02-11,failed,refund
189,4417,25,2024-04-08,failed,replacement
190,2552,7,2025-08-18,passed,replacement
191,3777,181,2025-12-23,passed,replacement
192,2980,460,2023-06-24,failed,replacement
193,2583,432,2023-03-06,passed,replacement
194,4516,396,2025-08-17,failed,replacement
195,2542,406,2023-09-06,passed,replacement
196,3714,322,2023-02-19,failed,refund
197,3965,173,2024-07-25,passed,refund
198,2352,389,2025-05-31,failed,replacement
199,1342,345,2025-08-20,failed,replacement
200,2814,230,2025-07-11,failed,refund
201,2116,330,2026-05-12,passed,replacement
202,3187,349,2024-11-16,failed,replacement
203,4983,321,2025-11-14,passed,refund
204,3917,320,2023-12-12,passed,replacement
205,3481,107,2026-03-15,failed,replacement
206,4199,464,2023-11-23,failed,refund
207,4316,137,2024-07-04,passed,replacement
208,1426,270,2023-04-08,failed,refund
209,3015,109,2024-07-16,passed,replacement
210,541,39,2023-05-04,failed,replacement
211,4100,361,2025-07-20,passed,refund
212,1785,33,2026-03-20,passed,refund
213,4230,261,2026-02-12,failed,refund
